vtx-G02-77-1-3	Δ = 77	bi.bi = 1	b0.bi = 3	hypers = 13 x (irr-G2-7)
vtx-G02-291-225-45	Δ = 291	bi.bi = 225	b0.bi = 45	hypers = 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-294-324-54	Δ = 294	bi.bi = 324	b0.bi = 54	hypers = 3 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-297-225-45	Δ = 297	bi.bi = 225	b0.bi = 45	hypers = 3 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-300-324-54	Δ = 300	bi.bi = 324	b0.bi = 54	hypers = 6 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-302-196-42	Δ = 302	bi.bi = 196	b0.bi = 42	hypers = 1 x (irr-G2-7) + 5 x (irr-G2-14) + 6 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-308-121-33	Δ = 308	bi.bi = 121	b0.bi = 33	hypers = 11 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-308-196-42	Δ = 308	bi.bi = 196	b0.bi = 42	hypers = 4 x (irr-G2-7) + 2 x (irr-G2-14) + 7 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-309-81-27	Δ = 309	bi.bi = 81	b0.bi = 27	hypers = 21 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-310-484-66	Δ = 310	bi.bi = 484	b0.bi = 66	hypers = 1 x (irr-G2-7) + 5 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-314-121-33	Δ = 314	bi.bi = 121	b0.bi = 33	hypers = 14 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-315-81-27	Δ = 315	bi.bi = 81	b0.bi = 27	hypers = 24 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-317-121-33	Δ = 317	bi.bi = 121	b0.bi = 33	hypers = 19 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-320-121-33	Δ = 320	bi.bi = 121	b0.bi = 33	hypers = 17 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-321-81-27	Δ = 321	bi.bi = 81	b0.bi = 27	hypers = 27 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-323-121-33	Δ = 323	bi.bi = 121	b0.bi = 33	hypers = 22 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
