vtx-A04-276-64-24-a	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-A4-5) + 3 x (irr-A4-10) + 7 x (irr-A4-15) + 2 x (irr-A4-40) + 1 x (irr-A4-75)
vtx-A04-276-64-24-b	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-A4-5) + 3 x (irr-A4-10) + 6 x (irr-A4-15) + 3 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-276-64-24-c	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 3 x (irr-A4-5) + 2 x (irr-A4-10) + 7 x (irr-A4-15) + 1 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-75)
vtx-A04-276-64-24-d	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 3 x (irr-A4-5) + 2 x (irr-A4-10) + 6 x (irr-A4-15) + 2 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-276-64-24-e	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 4 x (irr-A4-5) + 1 x (irr-A4-10) + 6 x (irr-A4-15) + 1 x (irr-A4-40) + 2 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-276-64-24-f	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 5 x (irr-A4-5) + 6 x (irr-A4-15) + 3 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-276-64-24-g	Δ = 276	bi.bi = 64	b0.bi = 24	hypers = 4 x (irr-A4-5) + 1 x (irr-A4-10) + 7 x (irr-A4-15) + 2 x (irr-A4-45) + 1 x (irr-A4-75)
vtx-A04-276-81-27-a	Δ = 276	bi.bi = 81	b0.bi = 27	hypers = 2 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-35) + 4 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-276-81-27-b	Δ = 276	bi.bi = 81	b0.bi = 27	hypers = 3 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-45) + 1 x (irr-A4-50) + 1 x (irr-A4-70a)
vtx-A04-276-121-33	Δ = 276	bi.bi = 121	b0.bi = 33	hypers = 2 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-175a)
vtx-A04-276-144-36	Δ = 276	bi.bi = 144	b0.bi = 36	hypers = 2 x (irr-A4-5) + 1 x (irr-A4-35) + 3 x (irr-A4-50) + 1 x (irr-A4-105)
vtx-A04-277-121-33-a	Δ = 277	bi.bi = 121	b0.bi = 33	hypers = 1 x (irr-A4-15) + 1 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-75) + 1 x (irr-A4-126a)
vtx-A04-277-121-33-b	Δ = 277	bi.bi = 121	b0.bi = 33	hypers = 2 x (irr-A4-40) + 1 x (irr-A4-45) + 1 x (irr-A4-50) + 1 x (irr-A4-126a)
vtx-A04-294-49-21	Δ = 294	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 1 x (irr-A4-10) + 7 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-295-49-21-a	Δ = 295	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 1 x (irr-A4-10) + 6 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-295-49-21-b	Δ = 295	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 6 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-295-49-21-c	Δ = 295	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 2 x (irr-A4-10) + 6 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-296-49-21-a	Δ = 296	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 5 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-296-49-21-b	Δ = 296	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-15) + 5 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-296-49-21-c	Δ = 296	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15) + 5 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-296-81-27	Δ = 296	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 1 x (irr-A4-10) + 5 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-50) + 1 x (irr-A4-75)
vtx-A04-297-49-21-a	Δ = 297	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-15) + 4 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-297-49-21-b	Δ = 297	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 4 x (irr-A4-10) + 3 x (irr-A4-15) + 4 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-297-49-21-c	Δ = 297	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-15) + 4 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-297-81-27-a	Δ = 297	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 2 x (irr-A4-10) + 4 x (irr-A4-24) + 2 x (irr-A4-50) + 1 x (irr-A4-70a)
vtx-A04-297-81-27-b	Δ = 297	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 4 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-50) + 1 x (irr-A4-75)
vtx-A04-297-81-27-c	Δ = 297	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 2 x (irr-A4-10) + 4 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-40) + 2 x (irr-A4-50)
vtx-A04-297-81-27-d	Δ = 297	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 1 x (irr-A4-10) + 4 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-45) + 2 x (irr-A4-50)
vtx-A04-298-49-21-a	Δ = 298	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 5 x (irr-A4-10) + 3 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-298-49-21-b	Δ = 298	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 5 x (irr-A4-10) + 4 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-75)
