mdl-(0,0,2)-197-2E7CBEFCA540B9F1	vertices = (vtx-A03-83-1-3, vtx-C04-146-1-3)	Δ = 197	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 12 x (irr-C4-8-q) + 2 x (irr-C4-27)	(1,2) : 1 x (irr-A3-4, irr-C4-8-q)
mdl-(0,0,2)-200-677C8E7B77C31054	vertices = (vtx-A03-83-1-3, vtx-A07-149-1-3)	Δ = 200	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 12 x (irr-A7-8) + 3 x (irr-A7-28)	(1,2) : 1 x (irr-A3-4, irr-A7-8)
mdl-(0,0,2)-200-FD4063D88BC109BE	vertices = (vtx-A03-83-1-3, vtx-D05-157-3-5)	Δ = 200	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 5 x (irr-D5-10) + 7 x (irr-D5-16)	(1,2) : 1 x (irr-A3-4, irr-D5-10)
mdl-(0,0,2)-200-81B022A643A43745	vertices = (vtx-A03-83-1-3, vtx-A03-149-4-6)	Δ = 200	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 24 x (irr-A3-4) + 6 x (irr-A3-6)	(1,2) : 2 x (irr-A3-4, irr-A3-4)
mdl-(0,0,2)-202-6BBB8B128F2D4D0D	vertices = (vtx-A03-83-1-3, vtx-C03-167-3-5)	Δ = 202	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 14 x (irr-C3-6-q) + 4 x (irr-C3-14a)	(1,2) : 2 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,2)-204-44F1583F12B53830	vertices = (vtx-A03-83-1-3, vtx-C03-169-3-5)	Δ = 204	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 15.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a)	(1,2) : 2 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,2)-206-670510DD050BF2F9	vertices = (vtx-A03-83-1-3, vtx-B05-167-3-5)	Δ = 206	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 9 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 6 x (irr-B5-11) + 3.5 x (irr-B5-32-q)	(1,2) : 1 x (irr-A3-4, irr-B5-11)
mdl-(0,0,2)-206-D8BE712D69815761	vertices = (vtx-A03-83-1-3, vtx-C03-171-3-5)	Δ = 206	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 2 x (irr-C3-14a)	(1,2) : 2 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,2)-206-9E43135414ED6E06	vertices = (vtx-A03-83-1-3, vtx-A03-171-5-7)	Δ = 206	bI-odd = ([[3,1],[1,0],[3,2]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 24 x (irr-A3-4) + 7 x (irr-A3-6)	(1,2) : 3 x (irr-A3-4, irr-A3-4)
mdl-(0,0,2)-207-8A48C28E9E84526A	vertices = (vtx-A03-83-1-3, vtx-C04-156-1-3)	Δ = 207	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q)	(1,2) : 1 x (irr-A3-4, irr-C4-8-q)
mdl-(0,0,2)-207-3207C0557FF146A8	vertices = (vtx-A03-83-1-3, vtx-A05-172-3-5)	Δ = 207	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 14 x (irr-A5-6) + 5 x (irr-A5-15)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-207-BF585103EE46849D	vertices = (vtx-A03-83-1-3, vtx-B03-156-4-6)	Δ = 207	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 7 x (irr-B3-7) + 12 x (irr-B3-8)	(1,2) : 1 x (irr-A3-4, irr-B3-8)
mdl-(0,0,2)-208-7765AEF2FABDBDCE	vertices = (vtx-A03-83-1-3, vtx-C03-167-3-5)	Δ = 208	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4)	(2) : 15 x (irr-C3-6-q) + 4 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q) + 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(0,0,2)-208-AD943BD01B927FA2	vertices = (vtx-A03-83-1-3, vtx-A05-173-3-5)	Δ = 208	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 15 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 4 x (irr-A5-15)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-208-84AC5DC3340310F1	vertices = (vtx-A03-83-1-3, vtx-C03-173-3-5)	Δ = 208	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(1,2) : 2 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,2)-208-FD91EB4E3CE7BA3D	vertices = (vtx-A03-83-1-3, vtx-A03-149-4-6)	Δ = 208	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 32 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-6)
mdl-(0,0,2)-209-72FDD7F7A934D58D	vertices = (vtx-A03-83-1-3, vtx-A05-174-3-5)	Δ = 209	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 16 x (irr-A5-6) + 1 x (irr-A5-20-q) + 3 x (irr-A5-15)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-210-97B81A646608065D	vertices = (vtx-A03-83-1-3, vtx-A08-163-1-3)	Δ = 210	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 11 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 11 x (irr-A8-9) + 3 x (irr-A8-36)	(1,2) : 1 x (irr-A3-4, irr-A8-9)
mdl-(0,0,2)-210-B31901180EF9B9AF	vertices = (vtx-A03-83-1-3, vtx-C03-169-3-5)	Δ = 210	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4)	(2) : 16.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q) + 0.5 x (irr-A3-6, irr-C3-6-q)
