mdl-(1,2,0)-173-14C7DD3D7A52CCF7	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A07-121-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A7-8) + 2 x (irr-A7-28)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A7-8)
mdl-(1,2,0)-173-58B4B7B036F3651B	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-A06-106-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 12 x (irr-A6-7) + 2 x (irr-A6-21)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A6-7)
mdl-(1,2,0)-173-76E5B246504CEBA8	vertices = (vtx-A03-39-n1-1, vtx-C03-89-0-2, vtx-A05-93-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-173-78AF4609A6E09850	vertices = (vtx-A03-39-n1-1, vtx-A05-91-0-2, vtx-A05-91-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(3) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-173-D86F6E1C9691330E	vertices = (vtx-A03-39-n1-1, vtx-A05-91-0-2, vtx-C03-91-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(3) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-173-3C17578D8B7B9016	vertices = (vtx-A03-39-n1-1, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 173	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(3) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-174-D46DEA5BB31EAD25	vertices = (vtx-A03-39-n1-1, vtx-A05-91-0-2, vtx-A05-92-0-2)	Δ = 174	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-174-4CE586A69E1AE8AF	vertices = (vtx-A03-39-n1-1, vtx-C03-91-0-2, vtx-A05-92-0-2)	Δ = 174	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-175-305E3E63C05574C8	vertices = (vtx-A03-39-n1-1, vtx-A05-91-0-2, vtx-A05-93-0-2)	Δ = 175	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-175-EB3B7ED95243BAC9	vertices = (vtx-A03-39-n1-1, vtx-C03-91-0-2, vtx-A05-93-0-2)	Δ = 175	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
