mdl-(0,3,0)-168-BAC6C751F0F12FEB	vertices = (vtx-C03-91-0-2, vtx-A03-61-0-2, vtx-B03-64-0-2)	Δ = 168	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 9.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(0,3,0)-169-5B19C51B7DF20456	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-B03-64-0-2)	Δ = 169	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8.5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 8 x (irr-B3-8)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(0,3,0)-169-534F7DA5844C660F	vertices = (vtx-C03-89-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 169	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(3) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(1,2) : 0.5 x (irr-C3-6-q, irr-B3-8)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(0,3,0)-169-145F3BED80C01EDD	vertices = (vtx-C03-91-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 169	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 7 x (irr-G2-7)	(3) : 8 x (irr-B3-8)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(0,3,0)-170-0486D85F74EADA4A	vertices = (vtx-C03-89-0-2, vtx-G02-56-0-2, vtx-B04-73-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 7 x (irr-G2-7)	(3) : 2 x (irr-B4-9) + 4 x (irr-B4-16)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-B4-9)
mdl-(0,3,0)-170-B85EA38A1D477E90	vertices = (vtx-C03-89-0-2, vtx-G02-56-0-2, vtx-A04-76-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 7.5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 7 x (irr-G2-7)	(3) : 10 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 1 x (irr-C3-6-q, irr-A4-5)
mdl-(0,3,0)-170-CC50C0CC0931E65F	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-D04-68-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-D4-8a) + 8 x (irr-D4-8b)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8a)
mdl-(0,3,0)-170-2902A726C238643A	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-D04-68-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 4 x (irr-D4-8a) + 5 x (irr-D4-8b)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8b)
mdl-(0,3,0)-170-556A24158E96D875	vertices = (vtx-C03-91-0-2, vtx-G02-56-0-2, vtx-D04-68-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 7 x (irr-G2-7)	(3) : 1 x (irr-D4-8a) + 8 x (irr-D4-8b)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8a)
mdl-(0,3,0)-170-56D796C6E27E8575	vertices = (vtx-C03-91-0-2, vtx-G02-56-0-2, vtx-D04-68-0-2)	Δ = 170	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 7 x (irr-G2-7)	(3) : 4 x (irr-D4-8a) + 5 x (irr-D4-8b)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8b)
mdl-(0,3,0)-171-AE2C128DCE6C89A0	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 171	bI-odd = ()	bI-even = ([[2,2],[1,0],[0,1],[0,1]])	(1) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(0,3,0)-171-79CDE556A63552D5	vertices = (vtx-C03-91-0-2, vtx-A03-61-0-2, vtx-B03-64-0-2)	Δ = 171	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 8 x (irr-B3-8)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(0,3,0)-171-574B6C0535583E96	vertices = (vtx-C03-91-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 171	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 9.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(3) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(1,2) : 0.5 x (irr-C3-6-q, irr-B3-8)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(0,3,0)-172-CFA977A7EE3EAA1A	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-B04-73-0-2)	Δ = 172	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 7.5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-B4-9) + 4 x (irr-B4-16)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-B4-9)
mdl-(0,3,0)-172-EC1A2A97CED43C39	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 172	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 7 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 10 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 1 x (irr-C3-6-q, irr-A4-5)
