vtx-C04-92-n1-1	Δ = 92	bi.bi = -1	b0.bi = 1	hypers = 16 x (irr-C4-8-q)
vtx-C04-326-6-8	Δ = 326	bi.bi = 6	b0.bi = 8	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-42)
vtx-C04-326-16-12	Δ = 326	bi.bi = 16	b0.bi = 12	hypers = 24 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 1 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-328-7-9	Δ = 328	bi.bi = 7	b0.bi = 9	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 4 x (irr-C4-27)
vtx-C04-330-20-14	Δ = 330	bi.bi = 20	b0.bi = 14	hypers = 14 x (irr-C4-8-q) + 2 x (irr-C4-27) + 1 x (irr-C4-36) + 2 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-335-8-10	Δ = 335	bi.bi = 8	b0.bi = 10	hypers = 16 x (irr-C4-8-q) + 9 x (irr-C4-27)
vtx-C04-338-7-9	Δ = 338	bi.bi = 7	b0.bi = 9	hypers = 31 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 2 x (irr-C4-27)
vtx-C04-340-20-14	Δ = 340	bi.bi = 20	b0.bi = 14	hypers = 19 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-36) + 2 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-343-7-9	Δ = 343	bi.bi = 7	b0.bi = 9	hypers = 32 x (irr-C4-8-q) + 3 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-345-8-10	Δ = 345	bi.bi = 8	b0.bi = 10	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 7 x (irr-C4-27)
vtx-C04-348-7-9	Δ = 348	bi.bi = 7	b0.bi = 9	hypers = 36 x (irr-C4-8-q) + 2 x (irr-C4-48-q)
vtx-C04-348-28-18	Δ = 348	bi.bi = 28	b0.bi = 18	hypers = 2 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 3 x (irr-C4-36) + 2 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-353-7-9	Δ = 353	bi.bi = 7	b0.bi = 9	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-355-8-10	Δ = 355	bi.bi = 8	b0.bi = 10	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 5 x (irr-C4-27)
vtx-C04-356-15-13-a	Δ = 356	bi.bi = 15	b0.bi = 13	hypers = 16 x (irr-C4-8-q) + 4 x (irr-C4-27) + 2 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-356-15-13-b	Δ = 356	bi.bi = 15	b0.bi = 13	hypers = 19 x (irr-C4-8-q) + 3.5 x (irr-C4-48-q) + 2 x (irr-C4-36)
vtx-C04-361-15-13	Δ = 361	bi.bi = 15	b0.bi = 13	hypers = 20 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-362-9-11	Δ = 362	bi.bi = 9	b0.bi = 11	hypers = 16 x (irr-C4-8-q) + 10 x (irr-C4-27)
vtx-C04-365-8-10	Δ = 365	bi.bi = 8	b0.bi = 10	hypers = 31 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 3 x (irr-C4-27)
vtx-C04-370-8-10	Δ = 370	bi.bi = 8	b0.bi = 10	hypers = 32 x (irr-C4-8-q) + 4 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-372-9-11	Δ = 372	bi.bi = 9	b0.bi = 11	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 8 x (irr-C4-27)
vtx-C04-375-8-10	Δ = 375	bi.bi = 8	b0.bi = 10	hypers = 36 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-27)
vtx-C04-380-8-10	Δ = 380	bi.bi = 8	b0.bi = 10	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 2 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-390-8-10	Δ = 390	bi.bi = 8	b0.bi = 10	hypers = 42 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 1 x (irr-C4-42)
vtx-C04-402-9-11	Δ = 402	bi.bi = 9	b0.bi = 11	hypers = 36 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 2 x (irr-C4-27)
vtx-C04-407-9-11	Δ = 407	bi.bi = 9	b0.bi = 11	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 3 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-412-9-11	Δ = 412	bi.bi = 9	b0.bi = 11	hypers = 41 x (irr-C4-8-q) + 2.5 x (irr-C4-48-q)
vtx-C04-417-9-11	Δ = 417	bi.bi = 9	b0.bi = 11	hypers = 42 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 1 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-419-10-12	Δ = 419	bi.bi = 10	b0.bi = 12	hypers = 31 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 5 x (irr-C4-27)
