vtx-A06-50-n2-0	Δ = 50	bi.bi = -2	b0.bi = 0	hypers = 14 x (irr-A6-7)
vtx-A06-407-10-12	Δ = 407	bi.bi = 10	b0.bi = 12	hypers = 41 x (irr-A6-7) + 3 x (irr-A6-21) + 3 x (irr-A6-35)
vtx-A06-414-10-12	Δ = 414	bi.bi = 10	b0.bi = 12	hypers = 46 x (irr-A6-7) + 4 x (irr-A6-35)
vtx-A06-414-11-13	Δ = 414	bi.bi = 11	b0.bi = 13	hypers = 27 x (irr-A6-7) + 13 x (irr-A6-21)
vtx-A06-442-12-14	Δ = 442	bi.bi = 12	b0.bi = 14	hypers = 28 x (irr-A6-7) + 14 x (irr-A6-21)
vtx-A06-449-12-14	Δ = 449	bi.bi = 12	b0.bi = 14	hypers = 33 x (irr-A6-7) + 11 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-456-12-14	Δ = 456	bi.bi = 12	b0.bi = 14	hypers = 38 x (irr-A6-7) + 8 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-463-12-14	Δ = 463	bi.bi = 12	b0.bi = 14	hypers = 43 x (irr-A6-7) + 5 x (irr-A6-21) + 3 x (irr-A6-35)
vtx-A06-470-12-14	Δ = 470	bi.bi = 12	b0.bi = 14	hypers = 48 x (irr-A6-7) + 2 x (irr-A6-21) + 4 x (irr-A6-35)
vtx-A06-473-27-21	Δ = 473	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-A6-7) + 6 x (irr-A6-21) + 5 x (irr-A6-35) + 4 x (irr-A6-48)
vtx-A06-474-27-21	Δ = 474	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-A6-7) + 7 x (irr-A6-21) + 1 x (irr-A6-28) + 5 x (irr-A6-35) + 3 x (irr-A6-48)
vtx-A06-475-27-21	Δ = 475	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-A6-7) + 8 x (irr-A6-21) + 2 x (irr-A6-28) + 5 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-476-27-21	Δ = 476	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-A6-7) + 9 x (irr-A6-21) + 3 x (irr-A6-28) + 5 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-477-27-21	Δ = 477	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-A6-7) + 10 x (irr-A6-21) + 4 x (irr-A6-28) + 5 x (irr-A6-35)
vtx-A06-480-27-21	Δ = 480	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-A6-7) + 3 x (irr-A6-21) + 6 x (irr-A6-35) + 4 x (irr-A6-48)
