vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-489-108-42-a	Δ = 489	bi.bi = 108	b0.bi = 42	hypers = 6 x (irr-D4-8a) + 1 x (irr-D4-28) + 3 x (irr-D4-35a) + 6 x (irr-D4-56a)
vtx-D04-489-108-42-b	Δ = 489	bi.bi = 108	b0.bi = 42	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 2 x (irr-D4-56a) + 4 x (irr-D4-56b)
vtx-D04-489-108-42-c	Δ = 489	bi.bi = 108	b0.bi = 42	hypers = 4 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35a) + 1 x (irr-D4-35b) + 4 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-489-108-42-d	Δ = 489	bi.bi = 108	b0.bi = 42	hypers = 6 x (irr-D4-8b) + 1 x (irr-D4-28) + 3 x (irr-D4-35b) + 6 x (irr-D4-56b)
vtx-D04-490-108-42-a	Δ = 490	bi.bi = 108	b0.bi = 42	hypers = 1 x (irr-D4-8a) + 6 x (irr-D4-8b) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a) + 6 x (irr-D4-56b)
vtx-D04-490-108-42-b	Δ = 490	bi.bi = 108	b0.bi = 42	hypers = 5 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-35a) + 5 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-490-108-42-c	Δ = 490	bi.bi = 108	b0.bi = 42	hypers = 3 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 3 x (irr-D4-56a) + 4 x (irr-D4-56b)
vtx-D04-500-18-20	Δ = 500	bi.bi = 18	b0.bi = 20	hypers = 22 x (irr-D4-8a) + 44 x (irr-D4-8b)
vtx-D04-517-48-28-c	Δ = 517	bi.bi = 48	b0.bi = 28	hypers = 48 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-518-48-28-a	Δ = 518	bi.bi = 48	b0.bi = 28	hypers = 24 x (irr-D4-8a) + 25 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-518-48-28-d	Δ = 518	bi.bi = 48	b0.bi = 28	hypers = 1 x (irr-D4-8a) + 48 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-519-48-28-c	Δ = 519	bi.bi = 48	b0.bi = 28	hypers = 50 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-56b)
vtx-D04-519-48-28-e	Δ = 519	bi.bi = 48	b0.bi = 28	hypers = 25 x (irr-D4-8a) + 25 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-524-19-21	Δ = 524	bi.bi = 19	b0.bi = 21	hypers = 23 x (irr-D4-8a) + 46 x (irr-D4-8b)
vtx-D04-548-20-22	Δ = 548	bi.bi = 20	b0.bi = 22	hypers = 24 x (irr-D4-8a) + 48 x (irr-D4-8b)
vtx-D04-572-21-23	Δ = 572	bi.bi = 21	b0.bi = 23	hypers = 25 x (irr-D4-8a) + 50 x (irr-D4-8b)
vtx-D04-596-22-24	Δ = 596	bi.bi = 22	b0.bi = 24	hypers = 26 x (irr-D4-8a) + 52 x (irr-D4-8b)
vtx-D04-620-23-25	Δ = 620	bi.bi = 23	b0.bi = 25	hypers = 27 x (irr-D4-8a) + 54 x (irr-D4-8b)
vtx-D04-740-28-30	Δ = 740	bi.bi = 28	b0.bi = 30	hypers = 32 x (irr-D4-8a) + 64 x (irr-D4-8b)
