vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-255-27-15	Δ = 255	bi.bi = 27	b0.bi = 15	hypers = 11 x (irr-D4-8a) + 6 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-255-32-16-a	Δ = 255	bi.bi = 32	b0.bi = 16	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-255-32-16-b	Δ = 255	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-255-32-16-c	Δ = 255	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-D4-8a) + 9 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-256-27-15-a	Δ = 256	bi.bi = 27	b0.bi = 15	hypers = 12 x (irr-D4-8a) + 6 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-256-27-15-b	Δ = 256	bi.bi = 27	b0.bi = 15	hypers = 3 x (irr-D4-8a) + 15 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-256-32-16-a	Δ = 256	bi.bi = 32	b0.bi = 16	hypers = 18 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-56b)
vtx-D04-256-32-16-b	Δ = 256	bi.bi = 32	b0.bi = 16	hypers = 18 x (irr-D4-8a) + 1 x (irr-D4-28) + 2 x (irr-D4-56a)
vtx-D04-256-32-16-c	Δ = 256	bi.bi = 32	b0.bi = 16	hypers = 9 x (irr-D4-8a) + 9 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-256-45-19	Δ = 256	bi.bi = 45	b0.bi = 19	hypers = 9 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-257-40-18	Δ = 257	bi.bi = 40	b0.bi = 18	hypers = 4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-257-45-19-a	Δ = 257	bi.bi = 45	b0.bi = 19	hypers = 1 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-257-45-19-b	Δ = 257	bi.bi = 45	b0.bi = 19	hypers = 10 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-258-40-18-a	Δ = 258	bi.bi = 40	b0.bi = 18	hypers = 12 x (irr-D4-8a) + 1 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-258-40-18-b	Δ = 258	bi.bi = 40	b0.bi = 18	hypers = 5 x (irr-D4-8a) + 8 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-258-45-19-a	Δ = 258	bi.bi = 45	b0.bi = 19	hypers = 2 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
