vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-G2-7)
vtx-G02-240-189-39	Δ = 240	bi.bi = 189	b0.bi = 39	hypers = 1 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-241-45-19	Δ = 241	bi.bi = 45	b0.bi = 19	hypers = 17 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-242-32-16	Δ = 242	bi.bi = 32	b0.bi = 16	hypers = 25 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-242-40-18	Δ = 242	bi.bi = 40	b0.bi = 18	hypers = 19 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-242-48-20	Δ = 242	bi.bi = 48	b0.bi = 20	hypers = 13 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-242-56-22	Δ = 242	bi.bi = 56	b0.bi = 22	hypers = 7 x (irr-G2-7) + 9 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-242-64-24	Δ = 242	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-G2-7) + 12 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-242-98-28	Δ = 242	bi.bi = 98	b0.bi = 28	hypers = 4 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-243-27-15	Δ = 243	bi.bi = 27	b0.bi = 15	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-243-35-17	Δ = 243	bi.bi = 35	b0.bi = 17	hypers = 21 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-243-81-27	Δ = 243	bi.bi = 81	b0.bi = 27	hypers = 1 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-243-135-33	Δ = 243	bi.bi = 135	b0.bi = 33	hypers = 3 x (irr-G2-7) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-243-162-36	Δ = 243	bi.bi = 162	b0.bi = 36	hypers = 1 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-244-30-16	Δ = 244	bi.bi = 30	b0.bi = 16	hypers = 23 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-244-96-28	Δ = 244	bi.bi = 96	b0.bi = 28	hypers = 2 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-245-9-11	Δ = 245	bi.bi = 9	b0.bi = 11	hypers = 37 x (irr-G2-7)
vtx-G02-245-25-15	Δ = 245	bi.bi = 25	b0.bi = 15	hypers = 25 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-245-33-17	Δ = 245	bi.bi = 33	b0.bi = 17	hypers = 19 x (irr-G2-7) + 9 x (irr-G2-14)
vtx-G02-245-49-21	Δ = 245	bi.bi = 49	b0.bi = 21	hypers = 7 x (irr-G2-7) + 15 x (irr-G2-14)
vtx-G02-245-63-23	Δ = 245	bi.bi = 63	b0.bi = 23	hypers = 10 x (irr-G2-7) + 7 x (irr-G2-27)
vtx-G02-245-240-44	Δ = 245	bi.bi = 240	b0.bi = 44	hypers = 4 x (irr-G2-7) + 3 x (irr-G2-77a)
vtx-G02-246-128-32	Δ = 246	bi.bi = 128	b0.bi = 32	hypers = 3 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-246-135-33	Δ = 246	bi.bi = 135	b0.bi = 33	hypers = 1 x (irr-G2-7) + 1 x (irr-G2-14) + 6 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-247-192-40	Δ = 247	bi.bi = 192	b0.bi = 40	hypers = 4 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
