vtx-A03-17-n2-0	Δ = 17	bi.bi = -2	b0.bi = 0	hypers = 8 x (irr-A3-4)
vtx-A03-213-12-10	Δ = 213	bi.bi = 12	b0.bi = 10	hypers = 43 x (irr-A3-4) + 6 x (irr-A3-6) + 1 x (irr-A3-20a)
vtx-A03-213-18-12	Δ = 213	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-A3-4) + 12 x (irr-A3-6) + 4 x (irr-A3-15)
vtx-A03-214-18-12	Δ = 214	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 3 x (irr-A3-15)
vtx-A03-215-7-9	Δ = 215	bi.bi = 7	b0.bi = 9	hypers = 44 x (irr-A3-4) + 9 x (irr-A3-6)
vtx-A03-215-18-12	Δ = 215	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-A3-4) + 14 x (irr-A3-6) + 2 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-216-18-12	Δ = 216	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-A3-4) + 15 x (irr-A3-6) + 3 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-216-32-16	Δ = 216	bi.bi = 32	b0.bi = 16	hypers = 16 x (irr-A3-6) + 9 x (irr-A3-15)
vtx-A03-217-18-12	Δ = 217	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-A3-4) + 16 x (irr-A3-6) + 4 x (irr-A3-10)
vtx-A03-217-32-16	Δ = 217	bi.bi = 32	b0.bi = 16	hypers = 17 x (irr-A3-6) + 1 x (irr-A3-10) + 8 x (irr-A3-15)
vtx-A03-218-15-11	Δ = 218	bi.bi = 15	b0.bi = 11	hypers = 39 x (irr-A3-4) + 7 x (irr-A3-6) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-218-21-13	Δ = 218	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 13 x (irr-A3-6) + 5 x (irr-A3-15)
vtx-A03-218-32-16	Δ = 218	bi.bi = 32	b0.bi = 16	hypers = 18 x (irr-A3-6) + 2 x (irr-A3-10) + 7 x (irr-A3-15)
vtx-A03-219-15-11	Δ = 219	bi.bi = 15	b0.bi = 11	hypers = 39 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-20a)
vtx-A03-219-21-13	Δ = 219	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 14 x (irr-A3-6) + 1 x (irr-A3-10) + 4 x (irr-A3-15)
vtx-A03-219-32-16	Δ = 219	bi.bi = 32	b0.bi = 16	hypers = 19 x (irr-A3-6) + 3 x (irr-A3-10) + 6 x (irr-A3-15)
vtx-A03-220-21-13	Δ = 220	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 15 x (irr-A3-6) + 2 x (irr-A3-10) + 3 x (irr-A3-15)
vtx-A03-220-32-16	Δ = 220	bi.bi = 32	b0.bi = 16	hypers = 20 x (irr-A3-6) + 4 x (irr-A3-10) + 5 x (irr-A3-15)
vtx-A03-221-21-13	Δ = 221	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 16 x (irr-A3-6) + 3 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-221-32-16	Δ = 221	bi.bi = 32	b0.bi = 16	hypers = 21 x (irr-A3-6) + 5 x (irr-A3-10) + 4 x (irr-A3-15)
vtx-A03-222-21-13	Δ = 222	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 17 x (irr-A3-6) + 4 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-222-32-16	Δ = 222	bi.bi = 32	b0.bi = 16	hypers = 22 x (irr-A3-6) + 6 x (irr-A3-10) + 3 x (irr-A3-15)
vtx-A03-223-18-12	Δ = 223	bi.bi = 18	b0.bi = 12	hypers = 35 x (irr-A3-4) + 8 x (irr-A3-6) + 2 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-223-21-13	Δ = 223	bi.bi = 21	b0.bi = 13	hypers = 20 x (irr-A3-4) + 18 x (irr-A3-6) + 5 x (irr-A3-10)
vtx-A03-223-24-14	Δ = 223	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 14 x (irr-A3-6) + 6 x (irr-A3-15)
vtx-A03-223-32-16	Δ = 223	bi.bi = 32	b0.bi = 16	hypers = 23 x (irr-A3-6) + 7 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-223-55-21	Δ = 223	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 1 x (irr-A3-6) + 8 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-223-60-22	Δ = 223	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 2 x (irr-A3-10) + 6 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-224-18-12	Δ = 224	bi.bi = 18	b0.bi = 12	hypers = 35 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-224-24-14	Δ = 224	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 15 x (irr-A3-6) + 1 x (irr-A3-10) + 5 x (irr-A3-15)
vtx-A03-224-32-16	Δ = 224	bi.bi = 32	b0.bi = 16	hypers = 24 x (irr-A3-6) + 8 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-224-55-21-a	Δ = 224	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 1 x (irr-A3-6) + 11 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-224-55-21-b	Δ = 224	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 2 x (irr-A3-6) + 1 x (irr-A3-10) + 7 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-224-60-22-a	Δ = 224	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 2 x (irr-A3-10) + 9 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-224-60-22-b	Δ = 224	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 1 x (irr-A3-6) + 3 x (irr-A3-10) + 5 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-224-65-23	Δ = 224	bi.bi = 65	b0.bi = 23	hypers = 1 x (irr-A3-4) + 5 x (irr-A3-10) + 3 x (irr-A3-15) + 7 x (irr-A3-20a)
vtx-A03-224-72-24	Δ = 224	bi.bi = 72	b0.bi = 24	hypers = 1 x (irr-A3-4) + 12 x (irr-A3-10) + 1 x (irr-A3-15) + 3 x (irr-A3-20a) + 2 x (irr-A3-20b)
vtx-A03-225-18-12	Δ = 225	bi.bi = 18	b0.bi = 12	hypers = 35 x (irr-A3-4) + 10 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-20a)
vtx-A03-225-24-14	Δ = 225	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 16 x (irr-A3-6) + 2 x (irr-A3-10) + 4 x (irr-A3-15)
vtx-A03-225-32-16	Δ = 225	bi.bi = 32	b0.bi = 16	hypers = 25 x (irr-A3-6) + 9 x (irr-A3-10)
vtx-A03-225-50-20	Δ = 225	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 4 x (irr-A3-6) + 8 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-225-55-21-a	Δ = 225	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 2 x (irr-A3-6) + 1 x (irr-A3-10) + 10 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-225-55-21-b	Δ = 225	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 3 x (irr-A3-6) + 2 x (irr-A3-10) + 6 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-225-60-22-a	Δ = 225	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 1 x (irr-A3-6) + 3 x (irr-A3-10) + 8 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-225-60-22-b	Δ = 225	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-10) + 12 x (irr-A3-15) + 2 x (irr-A3-20b)
vtx-A03-225-60-22-c	Δ = 225	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 2 x (irr-A3-6) + 4 x (irr-A3-10) + 4 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-225-65-23-a	Δ = 225	bi.bi = 65	b0.bi = 23	hypers = 5 x (irr-A3-10) + 6 x (irr-A3-15) + 4 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-225-65-23-b	Δ = 225	bi.bi = 65	b0.bi = 23	hypers = 1 x (irr-A3-4) + 1 x (irr-A3-6) + 6 x (irr-A3-10) + 2 x (irr-A3-15) + 7 x (irr-A3-20a)
vtx-A03-225-70-24	Δ = 225	bi.bi = 70	b0.bi = 24	hypers = 8 x (irr-A3-10) + 8 x (irr-A3-20a)
vtx-A03-225-72-24-a	Δ = 225	bi.bi = 72	b0.bi = 24	hypers = 1 x (irr-A3-4) + 1 x (irr-A3-6) + 13 x (irr-A3-10) + 3 x (irr-A3-20a) + 2 x (irr-A3-20b)
vtx-A03-225-72-24-b	Δ = 225	bi.bi = 72	b0.bi = 24	hypers = 12 x (irr-A3-10) + 4 x (irr-A3-15) + 3 x (irr-A3-20b)
vtx-A03-226-24-14	Δ = 226	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 17 x (irr-A3-6) + 3 x (irr-A3-10) + 3 x (irr-A3-15)
vtx-A03-226-32-16	Δ = 226	bi.bi = 32	b0.bi = 16	hypers = 11 x (irr-A3-4) + 12 x (irr-A3-6) + 7 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-226-50-20-a	Δ = 226	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 5 x (irr-A3-6) + 1 x (irr-A3-10) + 7 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-226-50-20-b	Δ = 226	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-A3-4) + 4 x (irr-A3-6) + 11 x (irr-A3-15) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-226-55-21-a	Δ = 226	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 4 x (irr-A3-6) + 3 x (irr-A3-10) + 5 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-226-55-21-b	Δ = 226	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 3 x (irr-A3-6) + 2 x (irr-A3-10) + 9 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-226-60-22-a	Δ = 226	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-6) + 3 x (irr-A3-10) + 11 x (irr-A3-15) + 2 x (irr-A3-20b)
vtx-A03-226-60-22-b	Δ = 226	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 3 x (irr-A3-6) + 5 x (irr-A3-10) + 3 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-226-60-22-c	Δ = 226	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 2 x (irr-A3-6) + 4 x (irr-A3-10) + 7 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-226-65-23-a	Δ = 226	bi.bi = 65	b0.bi = 23	hypers = 1 x (irr-A3-6) + 6 x (irr-A3-10) + 5 x (irr-A3-15) + 4 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-226-65-23-b	Δ = 226	bi.bi = 65	b0.bi = 23	hypers = 1 x (irr-A3-4) + 2 x (irr-A3-6) + 7 x (irr-A3-10) + 1 x (irr-A3-15) + 7 x (irr-A3-20a)
vtx-A03-226-72-24	Δ = 226	bi.bi = 72	b0.bi = 24	hypers = 1 x (irr-A3-6) + 13 x (irr-A3-10) + 3 x (irr-A3-15) + 3 x (irr-A3-20b)
vtx-A03-227-24-14	Δ = 227	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 18 x (irr-A3-6) + 4 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-227-32-16	Δ = 227	bi.bi = 32	b0.bi = 16	hypers = 11 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 6 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-227-45-19	Δ = 227	bi.bi = 45	b0.bi = 19	hypers = 5 x (irr-A3-4) + 7 x (irr-A3-6) + 8 x (irr-A3-15) + 3 x (irr-A3-20a)
vtx-A03-227-50-20-a	Δ = 227	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-A3-4) + 5 x (irr-A3-6) + 1 x (irr-A3-10) + 10 x (irr-A3-15) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-227-50-20-b	Δ = 227	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 6 x (irr-A3-6) + 2 x (irr-A3-10) + 6 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-227-55-21-a	Δ = 227	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 4 x (irr-A3-6) + 3 x (irr-A3-10) + 8 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-227-55-21-b	Δ = 227	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 5 x (irr-A3-6) + 4 x (irr-A3-10) + 4 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-227-60-22-a	Δ = 227	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 4 x (irr-A3-6) + 6 x (irr-A3-10) + 2 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-227-60-22-b	Δ = 227	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-6) + 4 x (irr-A3-10) + 10 x (irr-A3-15) + 2 x (irr-A3-20b)
vtx-A03-227-60-22-c	Δ = 227	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 3 x (irr-A3-6) + 5 x (irr-A3-10) + 6 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-227-65-23-a	Δ = 227	bi.bi = 65	b0.bi = 23	hypers = 1 x (irr-A3-4) + 3 x (irr-A3-6) + 8 x (irr-A3-10) + 7 x (irr-A3-20a)
vtx-A03-227-65-23-b	Δ = 227	bi.bi = 65	b0.bi = 23	hypers = 2 x (irr-A3-6) + 7 x (irr-A3-10) + 4 x (irr-A3-15) + 4 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-227-72-24	Δ = 227	bi.bi = 72	b0.bi = 24	hypers = 2 x (irr-A3-6) + 14 x (irr-A3-10) + 2 x (irr-A3-15) + 3 x (irr-A3-20b)
vtx-A03-228-21-13	Δ = 228	bi.bi = 21	b0.bi = 13	hypers = 31 x (irr-A3-4) + 9 x (irr-A3-6) + 3 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-228-24-14	Δ = 228	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 19 x (irr-A3-6) + 5 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-228-27-15	Δ = 228	bi.bi = 27	b0.bi = 15	hypers = 12 x (irr-A3-4) + 15 x (irr-A3-6) + 7 x (irr-A3-15)
vtx-A03-228-32-16	Δ = 228	bi.bi = 32	b0.bi = 16	hypers = 11 x (irr-A3-4) + 14 x (irr-A3-6) + 2 x (irr-A3-10) + 5 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-228-45-19-a	Δ = 228	bi.bi = 45	b0.bi = 19	hypers = 5 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-10) + 7 x (irr-A3-15) + 3 x (irr-A3-20a)
vtx-A03-228-45-19-b	Δ = 228	bi.bi = 45	b0.bi = 19	hypers = 4 x (irr-A3-4) + 7 x (irr-A3-6) + 11 x (irr-A3-15) + 1 x (irr-A3-20b)
vtx-A03-228-50-20-a	Δ = 228	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-A3-4) + 6 x (irr-A3-6) + 2 x (irr-A3-10) + 9 x (irr-A3-15) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-228-50-20-b	Δ = 228	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 7 x (irr-A3-6) + 3 x (irr-A3-10) + 5 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-228-55-21-a	Δ = 228	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 6 x (irr-A3-6) + 5 x (irr-A3-10) + 3 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-228-55-21-b	Δ = 228	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 5 x (irr-A3-6) + 4 x (irr-A3-10) + 7 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-228-60-22-a	Δ = 228	bi.bi = 60	b0.bi = 22	hypers = 3 x (irr-A3-6) + 5 x (irr-A3-10) + 9 x (irr-A3-15) + 2 x (irr-A3-20b)
vtx-A03-228-60-22-b	Δ = 228	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 4 x (irr-A3-6) + 6 x (irr-A3-10) + 5 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-228-60-22-c	Δ = 228	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 5 x (irr-A3-6) + 7 x (irr-A3-10) + 1 x (irr-A3-15) + 6 x (irr-A3-20a)
vtx-A03-228-65-23	Δ = 228	bi.bi = 65	b0.bi = 23	hypers = 3 x (irr-A3-6) + 8 x (irr-A3-10) + 3 x (irr-A3-15) + 4 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-228-72-24	Δ = 228	bi.bi = 72	b0.bi = 24	hypers = 3 x (irr-A3-6) + 15 x (irr-A3-10) + 1 x (irr-A3-15) + 3 x (irr-A3-20b)
vtx-A03-229-21-13	Δ = 229	bi.bi = 21	b0.bi = 13	hypers = 31 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-229-24-14	Δ = 229	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-A3-4) + 20 x (irr-A3-6) + 6 x (irr-A3-10)
vtx-A03-229-27-15	Δ = 229	bi.bi = 27	b0.bi = 15	hypers = 12 x (irr-A3-4) + 16 x (irr-A3-6) + 1 x (irr-A3-10) + 6 x (irr-A3-15)
vtx-A03-229-32-16	Δ = 229	bi.bi = 32	b0.bi = 16	hypers = 11 x (irr-A3-4) + 15 x (irr-A3-6) + 3 x (irr-A3-10) + 4 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-229-40-18	Δ = 229	bi.bi = 40	b0.bi = 18	hypers = 6 x (irr-A3-4) + 10 x (irr-A3-6) + 8 x (irr-A3-15) + 2 x (irr-A3-20a)
vtx-A03-229-45-19-a	Δ = 229	bi.bi = 45	b0.bi = 19	hypers = 5 x (irr-A3-4) + 9 x (irr-A3-6) + 2 x (irr-A3-10) + 6 x (irr-A3-15) + 3 x (irr-A3-20a)
vtx-A03-229-45-19-b	Δ = 229	bi.bi = 45	b0.bi = 19	hypers = 4 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-10) + 10 x (irr-A3-15) + 1 x (irr-A3-20b)
vtx-A03-229-50-20-a	Δ = 229	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-A3-4) + 7 x (irr-A3-6) + 3 x (irr-A3-10) + 8 x (irr-A3-15) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-229-50-20-b	Δ = 229	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 8 x (irr-A3-6) + 4 x (irr-A3-10) + 4 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-229-55-21-a	Δ = 229	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 6 x (irr-A3-6) + 5 x (irr-A3-10) + 6 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-229-55-21-b	Δ = 229	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 7 x (irr-A3-6) + 6 x (irr-A3-10) + 2 x (irr-A3-15) + 5 x (irr-A3-20a)
vtx-A03-229-60-22-a	Δ = 229	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-A3-4) + 5 x (irr-A3-6) + 7 x (irr-A3-10) + 4 x (irr-A3-15) + 3 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-229-60-22-b	Δ = 229	bi.bi = 60	b0.bi = 22	hypers = 4 x (irr-A3-6) + 6 x (irr-A3-10) + 8 x (irr-A3-15) + 2 x (irr-A3-20b)
vtx-A03-229-60-22-c	Δ = 229	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-A3-4) + 6 x (irr-A3-6) + 8 x (irr-A3-10) + 6 x (irr-A3-20a)
vtx-A03-229-65-23	Δ = 229	bi.bi = 65	b0.bi = 23	hypers = 4 x (irr-A3-6) + 9 x (irr-A3-10) + 2 x (irr-A3-15) + 4 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-229-72-24	Δ = 229	bi.bi = 72	b0.bi = 24	hypers = 4 x (irr-A3-6) + 16 x (irr-A3-10) + 3 x (irr-A3-20b)
vtx-A03-230-16-12	Δ = 230	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-A3-4) + 12 x (irr-A3-6) + 3 x (irr-A3-15)
vtx-A03-230-21-13	Δ = 230	bi.bi = 21	b0.bi = 13	hypers = 31 x (irr-A3-4) + 11 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-230-27-15	Δ = 230	bi.bi = 27	b0.bi = 15	hypers = 12 x (irr-A3-4) + 17 x (irr-A3-6) + 2 x (irr-A3-10) + 5 x (irr-A3-15)
vtx-A03-230-32-16	Δ = 230	bi.bi = 32	b0.bi = 16	hypers = 11 x (irr-A3-4) + 16 x (irr-A3-6) + 4 x (irr-A3-10) + 3 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-230-40-18	Δ = 230	bi.bi = 40	b0.bi = 18	hypers = 6 x (irr-A3-4) + 11 x (irr-A3-6) + 1 x (irr-A3-10) + 7 x (irr-A3-15) + 2 x (irr-A3-20a)
vtx-A03-230-45-19-a	Δ = 230	bi.bi = 45	b0.bi = 19	hypers = 5 x (irr-A3-4) + 10 x (irr-A3-6) + 3 x (irr-A3-10) + 5 x (irr-A3-15) + 3 x (irr-A3-20a)
vtx-A03-230-45-19-b	Δ = 230	bi.bi = 45	b0.bi = 19	hypers = 4 x (irr-A3-4) + 9 x (irr-A3-6) + 2 x (irr-A3-10) + 9 x (irr-A3-15) + 1 x (irr-A3-20b)
vtx-A03-230-50-20-a	Δ = 230	bi.bi = 50	b0.bi = 20	hypers = 4 x (irr-A3-4) + 9 x (irr-A3-6) + 5 x (irr-A3-10) + 3 x (irr-A3-15) + 4 x (irr-A3-20a)
vtx-A03-230-50-20-b	Δ = 230	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-A3-4) + 8 x (irr-A3-6) + 4 x (irr-A3-10) + 7 x (irr-A3-15) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-230-55-21-a	Δ = 230	bi.bi = 55	b0.bi = 21	hypers = 2 x (irr-A3-4) + 7 x (irr-A3-6) + 6 x (irr-A3-10) + 5 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
vtx-A03-230-55-21-b	Δ = 230	bi.bi = 55	b0.bi = 21	hypers = 3 x (irr-A3-4) + 8 x (irr-A3-6) + 7 x (irr-A3-10) + 1 x (irr-A3-15) + 5 x (irr-A3-20a)
