vtx-C03-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	hypers = 14 x (irr-C3-6-q)
vtx-C03-216-8-8	Δ = 216	bi.bi = 8	b0.bi = 8	hypers = 22 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-216-15-11	Δ = 216	bi.bi = 15	b0.bi = 11	hypers = 1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 11 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-217-18-12	Δ = 217	bi.bi = 18	b0.bi = 12	hypers = 4 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-218-8-8	Δ = 218	bi.bi = 8	b0.bi = 8	hypers = 23.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-218-15-11	Δ = 218	bi.bi = 15	b0.bi = 11	hypers = 2.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-219-5-7	Δ = 219	bi.bi = 5	b0.bi = 7	hypers = 26 x (irr-C3-6-q) + 6 x (irr-C3-14a)
vtx-C03-219-18-12	Δ = 219	bi.bi = 18	b0.bi = 12	hypers = 1.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-220-8-8	Δ = 220	bi.bi = 8	b0.bi = 8	hypers = 25 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-220-15-11	Δ = 220	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-220-21-13	Δ = 220	bi.bi = 21	b0.bi = 13	hypers = 0.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 5 x (irr-C3-21)
vtx-C03-221-5-7	Δ = 221	bi.bi = 5	b0.bi = 7	hypers = 27.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 5 x (irr-C3-14a)
vtx-C03-221-18-12	Δ = 221	bi.bi = 18	b0.bi = 12	hypers = 3 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-222-8-8	Δ = 222	bi.bi = 8	b0.bi = 8	hypers = 26.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-222-15-11	Δ = 222	bi.bi = 15	b0.bi = 11	hypers = 5.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-222-21-13	Δ = 222	bi.bi = 21	b0.bi = 13	hypers = 2 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 5 x (irr-C3-21)
vtx-C03-223-5-7	Δ = 223	bi.bi = 5	b0.bi = 7	hypers = 29 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 4 x (irr-C3-14a)
vtx-C03-223-12-10	Δ = 223	bi.bi = 12	b0.bi = 10	hypers = 8 x (irr-C3-6-q) + 11 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-223-18-12	Δ = 223	bi.bi = 18	b0.bi = 12	hypers = 4.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	hypers = 28 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 1 x (irr-C3-21)
vtx-C03-224-15-11	Δ = 224	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-224-21-13	Δ = 224	bi.bi = 21	b0.bi = 13	hypers = 3.5 x (irr-C3-6-q) + 8.5 x (irr-C3-14b-q) + 5 x (irr-C3-21)
vtx-C03-225-5-7	Δ = 225	bi.bi = 5	b0.bi = 7	hypers = 30.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a)
vtx-C03-225-12-10	Δ = 225	bi.bi = 12	b0.bi = 10	hypers = 9.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-225-18-12	Δ = 225	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-226-15-11	Δ = 226	bi.bi = 15	b0.bi = 11	hypers = 8.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-227-5-7	Δ = 227	bi.bi = 5	b0.bi = 7	hypers = 32 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 2 x (irr-C3-14a)
vtx-C03-227-12-10	Δ = 227	bi.bi = 12	b0.bi = 10	hypers = 11 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-227-18-12	Δ = 227	bi.bi = 18	b0.bi = 12	hypers = 7.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-228-15-11	Δ = 228	bi.bi = 15	b0.bi = 11	hypers = 10 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-228-21-13	Δ = 228	bi.bi = 21	b0.bi = 13	hypers = 2 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-229-5-7	Δ = 229	bi.bi = 5	b0.bi = 7	hypers = 33.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)
vtx-C03-229-12-10	Δ = 229	bi.bi = 12	b0.bi = 10	hypers = 12.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-229-18-12	Δ = 229	bi.bi = 18	b0.bi = 12	hypers = 9 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-230-15-11	Δ = 230	bi.bi = 15	b0.bi = 11	hypers = 11.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-230-21-13	Δ = 230	bi.bi = 21	b0.bi = 13	hypers = 1.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-231-5-7	Δ = 231	bi.bi = 5	b0.bi = 7	hypers = 35 x (irr-C3-6-q) + 3 x (irr-C3-14b-q)
vtx-C03-231-12-10	Δ = 231	bi.bi = 12	b0.bi = 10	hypers = 14 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-231-18-12-a	Δ = 231	bi.bi = 18	b0.bi = 12	hypers = 10.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 4 x (irr-C3-21)
vtx-C03-231-18-12-b	Δ = 231	bi.bi = 18	b0.bi = 12	hypers = 4 x (irr-C3-6-q) + 11 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-231-24-14	Δ = 231	bi.bi = 24	b0.bi = 14	hypers = 0.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-231-45-19	Δ = 231	bi.bi = 45	b0.bi = 19	hypers = 2 x (irr-C3-14b-q) + 3.5 x (irr-C3-64-q)
vtx-C03-232-15-11	Δ = 232	bi.bi = 15	b0.bi = 11	hypers = 13 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-232-21-13	Δ = 232	bi.bi = 21	b0.bi = 13	hypers = 3 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-232-32-16	Δ = 232	bi.bi = 32	b0.bi = 16	hypers = 0.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 3 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-233-12-10	Δ = 233	bi.bi = 12	b0.bi = 10	hypers = 15.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-233-18-12	Δ = 233	bi.bi = 18	b0.bi = 12	hypers = 5.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-233-24-14	Δ = 233	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-234-9-9	Δ = 234	bi.bi = 9	b0.bi = 9	hypers = 18 x (irr-C3-6-q) + 9 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-234-15-11	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 14.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-234-21-13	Δ = 234	bi.bi = 21	b0.bi = 13	hypers = 4.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-234-32-16	Δ = 234	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 3 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-235-12-10	Δ = 235	bi.bi = 12	b0.bi = 10	hypers = 17 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-235-18-12	Δ = 235	bi.bi = 18	b0.bi = 12	hypers = 7 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-235-24-14	Δ = 235	bi.bi = 24	b0.bi = 14	hypers = 3.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-236-9-9	Δ = 236	bi.bi = 9	b0.bi = 9	hypers = 19.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-236-15-11	Δ = 236	bi.bi = 15	b0.bi = 11	hypers = 16 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-236-21-13	Δ = 236	bi.bi = 21	b0.bi = 13	hypers = 6 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-236-45-19	Δ = 236	bi.bi = 45	b0.bi = 19	hypers = 2 x (irr-C3-14b-q) + 3 x (irr-C3-21) + 1.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-237-12-10	Δ = 237	bi.bi = 12	b0.bi = 10	hypers = 18.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-237-18-12	Δ = 237	bi.bi = 18	b0.bi = 12	hypers = 8.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-237-24-14	Δ = 237	bi.bi = 24	b0.bi = 14	hypers = 5 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-238-9-9	Δ = 238	bi.bi = 9	b0.bi = 9	hypers = 21 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-238-15-11	Δ = 238	bi.bi = 15	b0.bi = 11	hypers = 17.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 3 x (irr-C3-21)
vtx-C03-238-16-12	Δ = 238	bi.bi = 16	b0.bi = 12	hypers = 14 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-238-21-13	Δ = 238	bi.bi = 21	b0.bi = 13	hypers = 7.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-239-12-10	Δ = 239	bi.bi = 12	b0.bi = 10	hypers = 20 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-239-18-12	Δ = 239	bi.bi = 18	b0.bi = 12	hypers = 10 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-239-24-14-a	Δ = 239	bi.bi = 24	b0.bi = 14	hypers = 11 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-239-24-14-b	Δ = 239	bi.bi = 24	b0.bi = 14	hypers = 6.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-240-9-9	Δ = 240	bi.bi = 9	b0.bi = 9	hypers = 22.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-240-16-12	Δ = 240	bi.bi = 16	b0.bi = 12	hypers = 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 13 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-240-21-13	Δ = 240	bi.bi = 21	b0.bi = 13	hypers = 9 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-240-32-16	Δ = 240	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-241-12-10	Δ = 241	bi.bi = 12	b0.bi = 10	hypers = 21.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-241-18-12	Δ = 241	bi.bi = 18	b0.bi = 12	hypers = 11.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-241-24-14	Δ = 241	bi.bi = 24	b0.bi = 14	hypers = 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-241-32-16	Δ = 241	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-C3-6-q) + 9 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-241-40-18	Δ = 241	bi.bi = 40	b0.bi = 18	hypers = 5 x (irr-C3-14a) + 3 x (irr-C3-64-q)
vtx-C03-242-9-9	Δ = 242	bi.bi = 9	b0.bi = 9	hypers = 24 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-242-15-11	Δ = 242	bi.bi = 15	b0.bi = 11	hypers = 14 x (irr-C3-6-q) + 9 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-242-16-12	Δ = 242	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 12 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-242-21-13	Δ = 242	bi.bi = 21	b0.bi = 13	hypers = 10.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-242-27-15	Δ = 242	bi.bi = 27	b0.bi = 15	hypers = 0.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 3 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-242-32-16	Δ = 242	bi.bi = 32	b0.bi = 16	hypers = 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-243-12-10	Δ = 243	bi.bi = 12	b0.bi = 10	hypers = 23 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21)
vtx-C03-243-18-12	Δ = 243	bi.bi = 18	b0.bi = 12	hypers = 13 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-243-24-14	Δ = 243	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-243-32-16	Δ = 243	bi.bi = 32	b0.bi = 16	hypers = 2.5 x (irr-C3-6-q) + 9.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-243-35-17	Δ = 243	bi.bi = 35	b0.bi = 17	hypers = 0.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 2 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-243-40-18	Δ = 243	bi.bi = 40	b0.bi = 18	hypers = 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 3 x (irr-C3-64-q)
vtx-C03-243-50-20	Δ = 243	bi.bi = 50	b0.bi = 20	hypers = 2 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 1.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-244-9-9	Δ = 244	bi.bi = 9	b0.bi = 9	hypers = 25.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-244-15-11	Δ = 244	bi.bi = 15	b0.bi = 11	hypers = 15.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-244-16-12	Δ = 244	bi.bi = 16	b0.bi = 12	hypers = 4.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 11 x (irr-C3-14a) + 3 x (irr-C3-21)
vtx-C03-244-21-13	Δ = 244	bi.bi = 21	b0.bi = 13	hypers = 12 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-244-27-15	Δ = 244	bi.bi = 27	b0.bi = 15	hypers = 2 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 3 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-244-32-16	Δ = 244	bi.bi = 32	b0.bi = 16	hypers = 3 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-245-6-8	Δ = 245	bi.bi = 6	b0.bi = 8	hypers = 28 x (irr-C3-6-q) + 7 x (irr-C3-14a)
vtx-C03-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 24.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 2 x (irr-C3-21)
vtx-C03-245-18-12	Δ = 245	bi.bi = 18	b0.bi = 12	hypers = 14.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-245-21-13	Δ = 245	bi.bi = 21	b0.bi = 13	hypers = 17 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-245-24-14	Δ = 245	bi.bi = 24	b0.bi = 14	hypers = 4.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-245-25-15	Δ = 245	bi.bi = 25	b0.bi = 15	hypers = 10 x (irr-C3-14b-q) + 6 x (irr-C3-21)
vtx-C03-245-30-16	Δ = 245	bi.bi = 30	b0.bi = 16	hypers = 1 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 4 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-245-32-16-b	Δ = 245	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-C3-14a) + 4 x (irr-C3-21) + 1 x (irr-C3-70)
vtx-C03-245-45-19	Δ = 245	bi.bi = 45	b0.bi = 19	hypers = 0.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-246-9-9	Δ = 246	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-246-15-11	Δ = 246	bi.bi = 15	b0.bi = 11	hypers = 17 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-246-16-12	Δ = 246	bi.bi = 16	b0.bi = 12	hypers = 6 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 3 x (irr-C3-21)
