vtx-A05-37-n2-0	Δ = 37	bi.bi = -2	b0.bi = 0	hypers = 12 x (irr-A5-6)
vtx-A05-242-12-10-b	Δ = 242	bi.bi = 12	b0.bi = 10	hypers = 16 x (irr-A5-6) + 4 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-242-12-10-c	Δ = 242	bi.bi = 12	b0.bi = 10	hypers = 15 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-243-9-9	Δ = 243	bi.bi = 9	b0.bi = 9	hypers = 18 x (irr-A5-6) + 9 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-243-12-10-a	Δ = 243	bi.bi = 12	b0.bi = 10	hypers = 16 x (irr-A5-6) + 4 x (irr-A5-20-q) + 4 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-243-12-10-b	Δ = 243	bi.bi = 12	b0.bi = 10	hypers = 17 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-243-12-10-c	Δ = 243	bi.bi = 12	b0.bi = 10	hypers = 18 x (irr-A5-6) + 5 x (irr-A5-20-q) + 2 x (irr-A5-35)
vtx-A05-244-9-9-a	Δ = 244	bi.bi = 9	b0.bi = 9	hypers = 18 x (irr-A5-6) + 10 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-244-9-9-b	Δ = 244	bi.bi = 9	b0.bi = 9	hypers = 19 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-244-12-10-a	Δ = 244	bi.bi = 12	b0.bi = 10	hypers = 17 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-244-12-10-b	Δ = 244	bi.bi = 12	b0.bi = 10	hypers = 18 x (irr-A5-6) + 5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-245-9-9-a	Δ = 245	bi.bi = 9	b0.bi = 9	hypers = 19 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-245-9-9-b	Δ = 245	bi.bi = 9	b0.bi = 9	hypers = 20 x (irr-A5-6) + 1 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-245-12-10-a	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 19 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 1 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-245-12-10-b	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 18 x (irr-A5-6) + 5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-246-9-9-a	Δ = 246	bi.bi = 9	b0.bi = 9	hypers = 20 x (irr-A5-6) + 1 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-246-9-9-b	Δ = 246	bi.bi = 9	b0.bi = 9	hypers = 21 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-246-12-10	Δ = 246	bi.bi = 12	b0.bi = 10	hypers = 19 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-21)
vtx-A05-247-9-9-a	Δ = 247	bi.bi = 9	b0.bi = 9	hypers = 21 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-247-9-9-b	Δ = 247	bi.bi = 9	b0.bi = 9	hypers = 22 x (irr-A5-6) + 2 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-247-12-10	Δ = 247	bi.bi = 12	b0.bi = 10	hypers = 20 x (irr-A5-6) + 6 x (irr-A5-20-q) + 2 x (irr-A5-21)
vtx-A05-248-9-9-a	Δ = 248	bi.bi = 9	b0.bi = 9	hypers = 23 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-248-9-9-b	Δ = 248	bi.bi = 9	b0.bi = 9	hypers = 22 x (irr-A5-6) + 2 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-249-9-9-a	Δ = 249	bi.bi = 9	b0.bi = 9	hypers = 24 x (irr-A5-6) + 3 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-249-9-9-b	Δ = 249	bi.bi = 9	b0.bi = 9	hypers = 23 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-249-27-15	Δ = 249	bi.bi = 27	b0.bi = 15	hypers = 4 x (irr-A5-20-q) + 1 x (irr-A5-15) + 3 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-250-9-9-a	Δ = 250	bi.bi = 9	b0.bi = 9	hypers = 25 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-250-9-9-b	Δ = 250	bi.bi = 9	b0.bi = 9	hypers = 24 x (irr-A5-6) + 3 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-250-16-12	Δ = 250	bi.bi = 16	b0.bi = 12	hypers = 12 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-250-24-14	Δ = 250	bi.bi = 24	b0.bi = 14	hypers = 0.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-250-27-15-a	Δ = 250	bi.bi = 27	b0.bi = 15	hypers = 4 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-250-27-15-b	Δ = 250	bi.bi = 27	b0.bi = 15	hypers = 5.5 x (irr-A5-20-q) + 3 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-250-27-15-c	Δ = 250	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 3 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-250-32-16-a	Δ = 250	bi.bi = 32	b0.bi = 16	hypers = 5 x (irr-A5-15) + 3 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-250-32-16-b	Δ = 250	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 6 x (irr-A5-15) + 1 x (irr-A5-35) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-250-32-16-c	Δ = 250	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-35) + 2 x (irr-A5-70)
vtx-A05-251-9-9-a	Δ = 251	bi.bi = 9	b0.bi = 9	hypers = 26 x (irr-A5-6) + 4 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-35)
vtx-A05-251-9-9-b	Δ = 251	bi.bi = 9	b0.bi = 9	hypers = 25 x (irr-A5-6) + 3.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-251-16-12-a	Δ = 251	bi.bi = 16	b0.bi = 12	hypers = 13 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-251-16-12-b	Δ = 251	bi.bi = 16	b0.bi = 12	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 11 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-251-24-14-a	Δ = 251	bi.bi = 24	b0.bi = 14	hypers = 0.5 x (irr-A5-20-q) + 10 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-251-24-14-b	Δ = 251	bi.bi = 24	b0.bi = 14	hypers = 1 x (irr-A5-6) + 1 x (irr-A5-20-q) + 8 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-251-24-14-c	Δ = 251	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 8 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-251-27-15-a	Δ = 251	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-251-27-15-b	Δ = 251	bi.bi = 27	b0.bi = 15	hypers = 5.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-251-27-15-c	Δ = 251	bi.bi = 27	b0.bi = 15	hypers = 4 x (irr-A5-20-q) + 3 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-251-32-16-a	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-35) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-251-32-16-b	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-251-32-16-c	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 3 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-251-32-16-d	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-70)
vtx-A05-251-32-16-e	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 6 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-251-32-16-f	Δ = 251	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-35) + 2 x (irr-A5-70)
vtx-A05-251-48-20-a	Δ = 251	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-A5-6) + 1 x (irr-A5-21) + 1 x (irr-A5-70) + 1 x (irr-A5-84) + 1 x (irr-A5-105a)
vtx-A05-251-48-20-b	Δ = 251	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-A5-20-q) + 1 x (irr-A5-21) + 2 x (irr-A5-70) + 1 x (irr-A5-105a)
vtx-A05-252-9-9-a	Δ = 252	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 1 x (irr-A5-35)
vtx-A05-252-9-9-b	Δ = 252	bi.bi = 9	b0.bi = 9	hypers = 26 x (irr-A5-6) + 4 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-252-16-12-a	Δ = 252	bi.bi = 16	b0.bi = 12	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 10 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-252-16-12-b	Δ = 252	bi.bi = 16	b0.bi = 12	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 12 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-252-16-12-c	Δ = 252	bi.bi = 16	b0.bi = 12	hypers = 14 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-252-24-14-a	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 9 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-252-24-14-b	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 1 x (irr-A5-6) + 1 x (irr-A5-20-q) + 9 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-252-24-14-c	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 0.5 x (irr-A5-20-q) + 11 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-70)
vtx-A05-252-24-14-d	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-252-24-14-e	Δ = 252	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-252-27-15-a	Δ = 252	bi.bi = 27	b0.bi = 15	hypers = 4 x (irr-A5-20-q) + 4 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-84)
vtx-A05-252-27-15-b	Δ = 252	bi.bi = 27	b0.bi = 15	hypers = 2 x (irr-A5-6) + 5 x (irr-A5-20-q) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-252-27-15-c	Δ = 252	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 6 x (irr-A5-20-q) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-252-27-15-d	Δ = 252	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-252-27-15-e	Δ = 252	bi.bi = 27	b0.bi = 15	hypers = 5.5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-252-32-16-a	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-252-32-16-b	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 4 x (irr-A5-6) + 4 x (irr-A5-15) + 1 x (irr-A5-35) + 2 x (irr-A5-84)
vtx-A05-252-32-16-c	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 3 x (irr-A5-6) + 1 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-35) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-252-32-16-d	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-35) + 2 x (irr-A5-70)
vtx-A05-252-32-16-e	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 7 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-252-32-16-f	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-70)
vtx-A05-252-32-16-g	Δ = 252	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-253-6-8	Δ = 253	bi.bi = 6	b0.bi = 8	hypers = 28 x (irr-A5-6) + 8 x (irr-A5-15)
vtx-A05-253-9-9	Δ = 253	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 1 x (irr-A5-21)
vtx-A05-253-16-12-a	Δ = 253	bi.bi = 16	b0.bi = 12	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 11 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-253-16-12-b	Δ = 253	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-253-16-12-c	Δ = 253	bi.bi = 16	b0.bi = 12	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 13 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-253-16-12-d	Δ = 253	bi.bi = 16	b0.bi = 12	hypers = 15 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-253-24-14-a	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 10 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-84)
vtx-A05-253-24-14-b	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 1 x (irr-A5-6) + 1 x (irr-A5-20-q) + 10 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-70)
vtx-A05-253-24-14-c	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-253-24-14-d	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 8 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-253-24-14-e	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-A5-6) + 2 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-253-24-14-f	Δ = 253	bi.bi = 24	b0.bi = 14	hypers = 4 x (irr-A5-6) + 1 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-253-27-15-a	Δ = 253	bi.bi = 27	b0.bi = 15	hypers = 2 x (irr-A5-6) + 5 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-253-27-15-b	Δ = 253	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 6 x (irr-A5-20-q) + 1 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-253-27-15-c	Δ = 253	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 4.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-84)
vtx-A05-253-27-15-d	Δ = 253	bi.bi = 27	b0.bi = 15	hypers = 5.5 x (irr-A5-20-q) + 3 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-70)
vtx-A05-253-32-16-c	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 4 x (irr-A5-6) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-84)
vtx-A05-253-32-16-e	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 3 x (irr-A5-6) + 1 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-253-32-16-g	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 2 x (irr-A5-20-q) + 5 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-70)
vtx-A05-253-32-16-h	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-105a)
vtx-A05-253-32-16-i	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 6 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-253-32-16-j	Δ = 253	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-253-48-20	Δ = 253	bi.bi = 48	b0.bi = 20	hypers = 1 x (irr-A5-15) + 3 x (irr-A5-21) + 2 x (irr-A5-105a)
vtx-A05-254-6-8	Δ = 254	bi.bi = 6	b0.bi = 8	hypers = 29 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 7 x (irr-A5-15)
vtx-A05-254-9-9	Δ = 254	bi.bi = 9	b0.bi = 9	hypers = 28 x (irr-A5-6) + 5 x (irr-A5-20-q) + 1 x (irr-A5-21)
vtx-A05-254-16-12-a	Δ = 254	bi.bi = 16	b0.bi = 12	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 12 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-254-16-12-b	Δ = 254	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A5-6) + 2 x (irr-A5-20-q) + 8 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-254-16-12-c	Δ = 254	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 10 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-254-16-12-d	Δ = 254	bi.bi = 16	b0.bi = 12	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 14 x (irr-A5-15) + 3 x (irr-A5-21)
vtx-A05-254-24-14-a	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 5 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-254-24-14-b	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 4 x (irr-A5-6) + 1 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-254-24-14-c	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-A5-6) + 2 x (irr-A5-20-q) + 7 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-254-24-14-d	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 3 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-84)
vtx-A05-254-24-14-e	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 2 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 9 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-70)
vtx-A05-254-24-14-f	Δ = 254	bi.bi = 24	b0.bi = 14	hypers = 4 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-254-27-15-a	Δ = 254	bi.bi = 27	b0.bi = 15	hypers = 3 x (irr-A5-6) + 5.5 x (irr-A5-20-q) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
vtx-A05-254-27-15-b	Δ = 254	bi.bi = 27	b0.bi = 15	hypers = 2 x (irr-A5-6) + 6.5 x (irr-A5-20-q) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-70)
vtx-A05-254-27-15-c	Δ = 254	bi.bi = 27	b0.bi = 15	hypers = 2 x (irr-A5-6) + 5 x (irr-A5-20-q) + 2 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-84)
vtx-A05-254-27-15-d	Δ = 254	bi.bi = 27	b0.bi = 15	hypers = 1 x (irr-A5-6) + 6 x (irr-A5-20-q) + 2 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-70)
vtx-A05-254-32-16-a	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 4 x (irr-A5-6) + 3 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-35) + 2 x (irr-A5-70)
vtx-A05-254-32-16-b	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 3 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-70)
vtx-A05-254-32-16-c	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 4 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-254-32-16-e	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 5 x (irr-A5-6) + 2 x (irr-A5-20-q) + 2 x (irr-A5-15) + 1 x (irr-A5-35) + 1 x (irr-A5-70) + 1 x (irr-A5-84)
vtx-A05-254-32-16-f	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 4 x (irr-A5-6) + 2 x (irr-A5-20-q) + 1 x (irr-A5-15) + 3 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-254-32-16-h	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 5 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35) + 1 x (irr-A5-105a)
vtx-A05-254-32-16-i	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 5 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 4 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-84)
vtx-A05-254-32-16-j	Δ = 254	bi.bi = 32	b0.bi = 16	hypers = 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 3 x (irr-A5-21) + 1 x (irr-A5-105a)
vtx-A05-255-6-8	Δ = 255	bi.bi = 6	b0.bi = 8	hypers = 30 x (irr-A5-6) + 1 x (irr-A5-20-q) + 6 x (irr-A5-15)
vtx-A05-255-16-12-a	Δ = 255	bi.bi = 16	b0.bi = 12	hypers = 5 x (irr-A5-6) + 2.5 x (irr-A5-20-q) + 7 x (irr-A5-15) + 3 x (irr-A5-35)
vtx-A05-255-16-12-b	Δ = 255	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A5-6) + 2 x (irr-A5-20-q) + 9 x (irr-A5-15) + 1 x (irr-A5-21) + 2 x (irr-A5-35)
vtx-A05-255-16-12-c	Δ = 255	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 11 x (irr-A5-15) + 2 x (irr-A5-21) + 1 x (irr-A5-35)
vtx-A05-255-16-12-d	Δ = 255	bi.bi = 16	b0.bi = 12	hypers = 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 13 x (irr-A5-15) + 3 x (irr-A5-21)
